url,title,author,date,mileage,overall_rating,Overall,Value,Reliability,Quality,Styling,Comfort,pros,cons,full_review,recommendation
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Love my car...,CJ,"on Saturday, January 7, 2017","I own this car - My approximate mileage is 3,500",overall rating 8 of 10,10-Aug,10-Aug,10-Aug,10-Sep,10-Sep,10-Sep,,,"""Beautiful inside and out! 2017 model. I turn heads left and right on the road. Only thing... a unexplainable noise coming from the front left end of car in wet conditions. dealership has no clue. my car was in service for 3 weeks with no resolution. it does not impede the way it drives... just an annoying noise. new model design bugs perhaps? other than that, phenomenal car!""",Likely to recommend this car? (1-10): 9
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Early Suprise by what seemed to be a great car,Jerry,"on Sunday, January 18, 2015","I own this car - My approximate mileage is 4,000",overall rating 7 of 10,10-Jul,10-Jun,10-Jan,10-May,10-Oct,10-Sep,"""stylish,fun to drive""","""problems see above""","""Initial experience was terrific. loved the new C 300 2015 model. great appearance and handling. Other than Brake noise when backing up all was well. then cold weather and temperature change caused all the seats,backs etc to leak a chemical and stain everything. Still waiting on resolution but will have to haggle and give up car for a while as the only solution looks like replacing all interior seats and related surfaces. this is now a known problem and no one contacted me. Outcome pending.""",Likely to recommend this car? (1-10): 1
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Beautiful car with the worst navigation system,lacy,"on Monday, January 25, 2016","I own this car - My approximate mileage is 2,300",overall rating 8 of 10,10-Aug,10-Aug,10-Sep,10-Sep,10-Aug,10-Aug,,,"""The navigation is not very accurate, had me turning in a driveway to nowhere instead of the street 3 blocks down and was not near my location when it told me I had arrived. The whole entertainment/nav system is not user friendly, it requires too many steps to each choice. You can't select radio stations while in phone mode, you can't turn the radio off by itself the whole system shuts down. The system only allows using the radio, phone, nav, etc. one thing at a time.I had a seven year old Accord that had a much better and easier system than the Mercedes'. The transmission is sluggish at times and rough shifting. I love the blind spot alert but it doesn't always work accurately. The memory card slot is a handy way to play and store your own music.""",Likely to recommend this car? (1-10): 3
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,"Stylish, Solid, Compact Luxury Car",MBC300,"on Wednesday, November 2, 2016","I own this car - My approximate mileage is 14,500",overall rating 10 of 10,10-Oct,10-Sep,10-Oct,10-Oct,10-Oct,10-Sep,"""Styling, fun to drive, decent cargo space""","""Can't get an optional spare tire""","""Have had absolutely zero issues with my 2016. Average mileage has been 28.0 mpg combined (usually drive in ECO mode) and have gotten as high as 35mpg on a 500 mile trip. Love the Sport mode and rear wheel bias on my 4 Matic -it's actually FUN to drive on a winding country road. While Command system is at first complicated - I recommend you actually spend 1 hour to look at the manual and review the videos - and then enjoy what you paid good money for! :) Climate control is good - great sun roof - like the LED lights. Styling is great. Seats firm but comfortable. Preferred overall package of MB over BMW & Audi I test drove. Trunk with folding seat is good - I can fit my bike in there or a folding wheelchair - I use the car to go skiing and all my equipment fits inside. Car has been good in upstate NY winter snow.""",Likely to recommend this car? (1-10): 9
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,2015 Mercedes C 300 4matic,kw,"on Wednesday, July 1, 2015","I own this car - My approximate mileage is 10,200",overall rating 5 of 10,10-May,10-Jan,10-May,10-May,10-Sep,10-May,"""handles road well""","""Put together poorly, value drops 18,000 1st yr""","""After 2 months engine noise got louder. Dealer says it is normal. Loaner cars aren't that noisy. Car stayed in service for 3 weeks to have engine mounts and axile shafts. Yes this is a 2015 model.""",Likely to recommend this car? (1-10): 1
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Love my car...,CJ,"on Saturday, January 7, 2017","I own this car - My approximate mileage is 3,500",overall rating 8 of 10,10-Aug,10-Aug,10-Aug,10-Sep,10-Sep,10-Sep,,,"""Beautiful inside and out! 2017 model. I turn heads left and right on the road. Only thing... a unexplainable noise coming from the front left end of car in wet conditions. dealership has no clue. my car was in service for 3 weeks with no resolution. it does not impede the way it drives... just an annoying noise. new model design bugs perhaps? other than that, phenomenal car!""",Likely to recommend this car? (1-10): 9
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Early Suprise by what seemed to be a great car,Jerry,"on Sunday, January 18, 2015","I own this car - My approximate mileage is 4,000",overall rating 7 of 10,10-Jul,10-Jun,10-Jan,10-May,10-Oct,10-Sep,"""stylish,fun to drive""","""problems see above""","""Initial experience was terrific. loved the new C 300 2015 model. great appearance and handling. Other than Brake noise when backing up all was well. then cold weather and temperature change caused all the seats,backs etc to leak a chemical and stain everything. Still waiting on resolution but will have to haggle and give up car for a while as the only solution looks like replacing all interior seats and related surfaces. this is now a known problem and no one contacted me. Outcome pending.""",Likely to recommend this car? (1-10): 1
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,Beautiful car with the worst navigation system,lacy,"on Monday, January 25, 2016","I own this car - My approximate mileage is 2,300",overall rating 8 of 10,10-Aug,10-Aug,10-Sep,10-Sep,10-Aug,10-Aug,,,"""The navigation is not very accurate, had me turning in a driveway to nowhere instead of the street 3 blocks down and was not near my location when it told me I had arrived. The whole entertainment/nav system is not user friendly, it requires too many steps to each choice. You can't select radio stations while in phone mode, you can't turn the radio off by itself the whole system shuts down. The system only allows using the radio, phone, nav, etc. one thing at a time.I had a seven year old Accord that had a much better and easier system than the Mercedes'. The transmission is sluggish at times and rough shifting. I love the blind spot alert but it doesn't always work accurately. The memory card slot is a handy way to play and store your own music.""",Likely to recommend this car? (1-10): 3
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,"Stylish, Solid, Compact Luxury Car",MBC300,"on Wednesday, November 2, 2016","I own this car - My approximate mileage is 14,500",overall rating 10 of 10,10-Oct,10-Sep,10-Oct,10-Oct,10-Oct,10-Sep,"""Styling, fun to drive, decent cargo space""","""Can't get an optional spare tire""","""Have had absolutely zero issues with my 2016. Average mileage has been 28.0 mpg combined (usually drive in ECO mode) and have gotten as high as 35mpg on a 500 mile trip. Love the Sport mode and rear wheel bias on my 4 Matic -it's actually FUN to drive on a winding country road. While Command system is at first complicated - I recommend you actually spend 1 hour to look at the manual and review the videos - and then enjoy what you paid good money for! :) Climate control is good - great sun roof - like the LED lights. Styling is great. Seats firm but comfortable. Preferred overall package of MB over BMW & Audi I test drove. Trunk with folding seat is good - I can fit my bike in there or a folding wheelchair - I use the car to go skiing and all my equipment fits inside. Car has been good in upstate NY winter snow.""",Likely to recommend this car? (1-10): 9
https://www.kbb.com/mercedes-benz/c-class/2017/c300-consumer_reviews/?p=1&vehicleid=419277&intent=buy-new,2015 Mercedes C 300 4matic,kw,"on Wednesday, July 1, 2015","I own this car - My approximate mileage is 10,200",overall rating 5 of 10,10-May,10-Jan,10-May,10-May,10-Sep,10-May,"""handles road well""","""Put together poorly, value drops 18,000 1st yr""","""After 2 months engine noise got louder. Dealer says it is normal. Loaner cars aren't that noisy. Car stayed in service for 3 weeks to have engine mounts and axile shafts. Yes this is a 2015 model.""",Likely to recommend this car? (1-10): 1
