,URL,MODEL,PRICE,IMG_WRAP,IMG_WRAPALT,IMGWRP_LINK,ENGINE,ACCEL_TIME,HP_RPM,HP,TOR_RPM_RAN,TOR_LB_FT
0,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,C300 Sedan,"$39,500",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2.0L inline-4 turbo,6,"@ 5,500 rpm",241,"@1,300-4,000 rpm",273
1,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,C300 4MATIC Sedan,"$41,500",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2.0L inline-4 turbo,6,"@ 5,500 rpm",241,"@1,300-4,000 rpm",273
2,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,C350e Plug-in Hybrid Sedan,"$46,050",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2017-C-CLASS-C300-SEDAN-CGT-D.png,2.0L Inline-4 Turbo + 60kW Electric Motor,5.8,,275,,443
3,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,AMG C43 Sedan,"$52,000",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C450-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C450-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C450-AMG-SEDAN-CGT-D.png,AMG-enhanced 3.0L V6 biturbo,4.6,"@ 5,500-6,000 rpm",362,"@ 2,000-4,200 rpm",384
4,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,AMG C63 Sedan,"$65,200",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C63-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C63-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C63-AMG-SEDAN-CGT-D.png,Handcrafted AMG 4.0L V8 biturbo,4,"@ 5,500-6,250 rpm",469,"@ 1,750-4,500 rpm",479
5,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-SDN,AMG C63 S Sedan,"$72,800",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/SDN/Overview/2017-C-CLASS-C63S-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C63S-AMG-SEDAN-CGT-D.png,2017-C-CLASS-C63S-AMG-SEDAN-CGT-D.png,Handcrafted AMG 4.0L V8 biturbo,3.9,"@ 5,500-6,250 rpm",503,"@ 1,750-4,500 rpm",516
6,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CPE,C300 Coupe,"$42,650",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CPE/Overview/2017-C-CLASS-C300-COUPE-CGT-D.png,2017-C-CLASS-C300-COUPE-CGT-D.png,2017-C-CLASS-C300-COUPE-CGT-D.png,2.0L inline-4 turbo,5.9,"@ 5,500 rpm",241,"@ 1,300-4,000 rpm",273
7,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CPE,C300 4MATIC Coupe,"$44,650",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CPE/Overview/2017-C-CLASS-C300-4MATIC-COUPE-CGT-D.png,2017-C-CLASS-C300-4MATIC-COUPE-CGT-D.png,2017-C-CLASS-C300-4MATIC-COUPE-CGT-D.png,2.0L inline-4 turbo,5.9,"@ 5,500 rpm",241,"@ 1,300-4,000 rpm",273
8,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CPE,AMG C43 Coupe,"$55,500",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CPE/Overview/2017-C-C43-AMG-COUPE-CGT-D.png,2017-C-C43-AMG-COUPE-CGT-D.png,2017-C-C43-AMG-COUPE-CGT-D.png,3.0L V6 biturbo,4.6,"@ 5,500-6,000 rpm",362,"@ 2,000-4,200 rpm",384
9,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CPE,AMG C63 Coupe,"$67,000",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CPE/Overview/2017-C-C63-AMG-COUPE-CGT-D.png,2017-C-C63-AMG-COUPE-CGT-D.png,2017-C-C63-AMG-COUPE-CGT-D.png,Handcrafted AMG 4.0L V8 biturbo,3.9,"@ 5,500 rpm",469,"@ 1,750-4,500 rpm",479
10,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CPE,AMG C63 S Coupe,"$75,000",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CPE/Overview/2017-C-C63S-AMG-COUPE-CGT-D.png,2017-C-C63S-AMG-COUPE-CGT-D.png,2017-C-C63S-AMG-COUPE-CGT-D.png,Handcrafted AMG 4.0L V8 biturbo,3.8,"@ 5,500 rpm",503,"@ 1,750-4,500 rpm rpm",516
11,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CAB,C300 Cabriolet,"$50,900",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CAB/BASE/CGT/2017-C-C300-CABRIOLET-CGT-D.png,2017-C-C300-CABRIOLET-CGT-D.png,2017-C-C300-CABRIOLET-CGT-D.png,2.0L inline-4 turbo,6.3,"@ 5,550 rpm",241,"@ 1,300-4,000 rpm",273
12,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CAB,C300 4MATIC Cabriolet,"$52,900",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CAB/BASE/CGT/2017-C-C300-CABRIOLET-CGT-D.png,2017-C-C300-CABRIOLET-CGT-D.png,2017-C-C300-CABRIOLET-CGT-D.png,2.0L turbo inline-4,6.3,"@ 5,550 rpm",241,"@ 1,300-4,000 rpm",273
13,https://www.mbusa.com/mercedes/vehicles/class/build/class-C/bodystyle-CAB,AMG C43 Cabriolet,"$60,400",https://assets.mbusa.com/vcm/MB/DigitalAssets/Vehicles/ClassLanding/2017/C/CAB/BASE/CGT/2017-C-C43-AMG-CABRIOLET-CGT-D.png,2017-C-C43-AMG-CABRIOLET-CGT-D.png,2017-C-C43-AMG-CABRIOLET-CGT-D.png,AMG-enhanced 3.0L V6 biturbo,4.7,"@ 5,500-6,000 rpm",362,"@ 2,000-4,200 rpm",384
