"url","Model_name","Model_image","Model_image_alt","Model description","mpodel_price","Lease amount","Lease tenure","Finance amount","finance tenure","finance interst"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA250 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-CLA-COUPE-01-D.jpg","2016-SPECIAL-OFFERS-CLA-COUPE-01-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$32,050*","$299","/mo for 36 months","$3,643","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA250 Coupe 4MATIC®","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-CLA-COUPE-02-D.jpg","2016-SPECIAL-OFFERS-CLA-COUPE-02-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$34,050*","$319","/mo for 36 months","$3,813","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 CLA45 AMG Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-16-CLA45-D.jpg","2017-SPECIAL-OFFERS-16-CLA45-D.jpg","Inspired by its trendsetting big brother, the CLS, the CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that Captivated the international auto show circuit.","$49,500*","$519","/mo for 36 months","$5,913","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA250 Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CLA_HERO_5_BLACK-D.jpg","2017-SPECIAL-OFFERS-17_CLA_HERO_5_BLACK-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$32,400*","$339","/mo for 36 months","$3,633","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA250 Coupe 4MATIC®","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-17_CLA_HERO_4_4MATIC-D.jpg","2017-SPECIAL-OFFERS-17_CLA_HERO_4_4MATIC-D.jpg","Inspired by its trendsetting big brother, the CLS-Class, the new CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that captivated the international auto show circuit.","$34,400*","$359","/mo for 36 months","$3,753","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2017 CLA45 AMG Coupe","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-CLA45-COUPE-D.jpg","2017-SPECIAL-OFFERS-CLA45-COUPE-D.jpg","Inspired by its trendsetting big brother, the CLS, the CLA is a near-verbatim translation of the acclaimed Concept Style Coupe showcar that Captivated the international auto show circuit.","$49,950*","$559","/mo for 36 months","$5,953","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C300 Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-C-SEDAN-01-D.jpg","2016-SPECIAL-OFFERS-C-SEDAN-01-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$38,950*","$369","/mo for 36 months","$4,523","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C300 4MATIC® Sport Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2016-SPECIAL-OFFERS-C-SEDAN-02-D.jpg","2016-SPECIAL-OFFERS-C-SEDAN-02-D.jpg","Exuberant performance and impressive efficiency never take a holiday in the C300 4MATIC. Its all-wheel drive and all-around excellence make it a joy to drive on any road, in any season.","$40,950*","$389","/mo for 36 months","$4,683","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C350e Plug-in Hybrid Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2017/2017-SPECIAL-OFFERS-C-C350E-SEDAN-D.jpg","2017-SPECIAL-OFFERS-C-C350E-SEDAN-D.jpg","The first plug-in hybrid C-Class teams an electric motor with a biturbo gasoline V-6 for an exceptional 275 hp (combined). An E-BOOST feature lets the electric motor raise total torque up to 443 lb-ft, for quick acceleration along with remarkable fuel-efficiency. It can also travel far enough on electricity alone for many drivers to commute without using gasoline.","$45,490*","$369","/mo for 36 months","$4,523","for 24-72 months","2.99%"
"https://www.mbusa.com/mercedes/special_offers/current#class=CLA","2016 C450 AMG Sedan","https://assets.mbusa.com/vcm/MB/DigitalAssets/CurrentOffers/Responsive/2016/2017-SPECIAL-OFFERS-C450-AMG-SEDAN-01-D.jpg","2017-SPECIAL-OFFERS-C450-AMG-SEDAN-01-D.jpg","Muscular style outside, flowing refinement inside, and a fluent conversation between car and driver: From its engineering to its enthusiasm, the value of the C-Class comes from its virtues.","$50,800*","$529","/mo for 36 months","$5,123","for 24-72 months","2.99%"
